ID;Ubicacion;Localidad;Interes Turistico;Superficie (m²);Precio (€);Acceso a Transporte Publico;Proximidad a Servicios (km);Zona Residencial;Zona Comercial;Indice de Criminalidad;Restricciones de Construccion;Comprar
1;Lat, Long;Albacete;50;546;325911;0;0.17204147557344218;1;0;0;15.0;False
2;Lat, Long;Lleida;50;609;281361;1;0.668542728862705;1;0;75;20.0;True
3;Lat, Long;Almería;100;877;220099;0;0.5347859186450449;1;1;100;15.0;True
4;Lat, Long;Guipúzcoa;100;857;398656;0;0.27455306171627275;0;0;0;20.0;False
5;Lat, Long;León;0;577;270896;1;0.5737132117027569;0;1;75;15.0;False
6;Lat, Long;Valencia;0;873;322221;1;0.7447422580604565;0;1;75;15.0;False
7;Lat, Long;Valencia;25;752;253514;1;0.24396831939092353;1;1;100;20.0;False
8;Lat, Long;Murcia;25;691;355204;0;0.9202938633705263;1;0;100;20.0;False
9;Lat, Long;Girona;50;782;259886;0;0.5189010021729196;0;0;75;20.0;True
10;Lat, Long;Cádiz;50;609;344817;0;0.2057843122880179;0;1;50;inf;False
11;Lat, Long;Cuenca;50;745;356315;1;0.7168246261046287;1;0;25;inf;False
12;Lat, Long;Ourense;0;775;386581;1;0.7950538618345058;0;0;100;15.0;False
13;Lat, Long;Ourense;50;809;276806;1;0.8844258876722968;0;1;50;15.0;True
14;Lat, Long;Girona;100;596;323025;1;0.5292823211746283;0;0;50;15.0;False
15;Lat, Long;Las Palmas;25;787;243859;1;0.23390883371348123;1;1;100;15.0;False
16;Lat, Long;Álava;100;783;226327;1;0.506963908353906;0;0;0;inf;True
17;Lat, Long;Asturias;100;818;293924;0;0.46532778083043014;1;0;25;20.0;True
18;Lat, Long;Ávila;75;819;394672;1;0.9248801760165057;0;0;50;15.0;False
19;Lat, Long;Barcelona;75;866;281746;0;0.26710184215984806;1;1;25;inf;True
20;Lat, Long;Lleida;100;942;280448;0;0.3870434560952968;0;1;50;20.0;True
21;Lat, Long;Segovia;50;777;251334;1;0.6607346402618055;0;0;100;20.0;True
22;Lat, Long;Biscay;50;771;355753;0;0.8009345889616143;1;0;0;20.0;False
23;Lat, Long;Málaga;25;952;285778;1;0.5046712164199605;0;1;100;15.0;False
24;Lat, Long;Sevilla;0;669;379882;0;0.9459725515446732;0;0;75;inf;False
25;Lat, Long;Ourense;100;768;326993;0;0.8799387926221218;1;0;75;inf;False
